Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
10900,IPE,54.639999,54.860001,54.599998,2015-12-14,54.639999,54.860001
14600,IPE,55.080002,55.119999,54.939999,2015-12-11,55.080002,55.009998
27800,IPE,54.830002,54.98,54.799999,2015-12-10,54.830002,54.98
58700,IPE,55.040001,55.099998,54.959999,2015-12-09,55.040001,55.02
12400,IPE,55.130001,55.18,55.040001,2015-12-08,55.130001,55.130001
24800,IPE,55.119999,55.209999,55.009998,2015-12-07,55.119999,55.009998
74600,IPE,55.09,55.200001,55.009998,2015-12-04,55.09,55.080002
32500,IPE,54.91,55.18,54.84,2015-12-03,54.91,55.18
22100,IPE,55.32,55.389999,55.27,2015-12-02,55.32,55.330002
16700,IPE,55.50,55.549999,55.32,2015-12-01,55.50,55.32
14400,IPE,55.310001,55.369999,55.25,2015-11-30,55.310001,55.32
9900,IPE,55.290001,55.310001,55.259998,2015-11-27,55.290001,55.299999
10400,IPE,55.290001,55.32,55.220001,2015-11-25,55.290001,55.299999
13300,IPE,55.310001,55.34,55.220001,2015-11-24,55.310001,55.32
11500,IPE,55.259998,55.299999,55.130001,2015-11-23,55.259998,55.189999
12000,IPE,55.130001,55.209999,55.110001,2015-11-20,55.130001,55.150002
11800,IPE,55.130001,55.130001,55.029999,2015-11-19,55.130001,55.060001
31600,IPE,54.93,54.959999,54.790001,2015-11-18,54.93,54.849998
11600,IPE,54.849998,54.900002,54.740002,2015-11-17,54.849998,54.779999
25400,IPE,54.77,54.860001,54.700001,2015-11-16,54.77,54.82
105100,IPE,54.790001,54.869999,54.759998,2015-11-13,54.790001,54.810001
7700,IPE,54.709999,54.740002,54.650002,2015-11-12,54.709999,54.650002
18100,IPE,54.66,54.709999,54.630001,2015-11-11,54.66,54.639999
115400,IPE,54.700001,54.869999,54.689999,2015-11-10,54.700001,54.709999
11800,IPE,54.700001,54.810001,54.66,2015-11-09,54.700001,54.66
25800,IPE,54.73,54.82,54.700001,2015-11-06,54.73,54.82
79500,IPE,55.00,55.080002,54.889999,2015-11-05,55.00,55.080002
12100,IPE,55.139999,55.34,55.049999,2015-11-04,55.139999,55.27
62000,IPE,55.25,55.380001,55.189999,2015-11-03,55.25,55.32
33000,IPE,55.299999,55.34,55.209999,2015-11-02,55.299999,55.209999
40800,IPE,55.389999,55.389999,55.25,2015-10-30,55.389999,55.330002
22700,IPE,55.18,55.23,55.119999,2015-10-29,55.18,55.200001
36200,IPE,55.330002,55.610001,55.299999,2015-10-28,55.330002,55.59
24500,IPE,55.619999,55.669998,55.59,2015-10-27,55.619999,55.669998
10300,IPE,55.540001,55.630001,55.52,2015-10-26,55.540001,55.630001
14000,IPE,55.52,55.560001,55.470001,2015-10-23,55.52,55.50
20600,IPE,55.59,55.639999,55.48,2015-10-22,55.59,55.529999
13800,IPE,55.459999,55.529999,55.419998,2015-10-21,55.459999,55.490002
18100,IPE,55.360001,55.369999,55.279999,2015-10-20,55.360001,55.279999
18900,IPE,55.450001,55.470001,55.32,2015-10-19,55.450001,55.470001
20600,IPE,55.580002,55.630001,55.50,2015-10-16,55.580002,55.59
24100,IPE,55.630001,55.790001,55.619999,2015-10-15,55.630001,55.759998
28300,IPE,55.779999,55.830002,55.57,2015-10-14,55.779999,55.630001
10600,IPE,55.66,55.669998,55.509998,2015-10-13,55.66,55.610001
20100,IPE,55.689999,55.700001,55.52,2015-10-12,55.689999,55.57
205500,IPE,55.50,55.689999,55.490002,2015-10-09,55.50,55.580002
12100,IPE,55.66,55.810001,55.57,2015-10-08,55.66,55.759998
11800,IPE,55.73,55.77,55.599998,2015-10-07,55.73,55.599998
15000,IPE,55.759998,55.77,55.529999,2015-10-06,55.759998,55.529999
86000,IPE,55.610001,55.799999,55.540001,2015-10-05,55.610001,55.630001
58400,IPE,55.790001,55.849998,55.639999,2015-10-02,55.790001,55.77
284500,IPE,55.400002,55.52,55.330002,2015-10-01,55.400002,55.419998
39300,IPE,55.207,55.220001,55.07,2015-09-30,55.220001,55.110001
15800,IPE,55.07703,55.18,55.009998,2015-09-29,55.09,55.049999
14000,IPE,54.937063,55.080002,54.919998,2015-09-28,54.950001,54.950001
31100,IPE,54.897072,55.099998,54.91,2015-09-25,54.91,55.040001
10000,IPE,55.236992,55.43,55.220001,2015-09-24,55.25,55.400002
28800,IPE,55.177005,55.32,55.18,2015-09-23,55.189999,55.189999
18900,IPE,55.296979,55.310001,55.060001,2015-09-22,55.310001,55.07
11100,IPE,55.097026,55.330002,55.09,2015-09-21,55.110001,55.290001
17900,IPE,55.446942,55.50,55.27,2015-09-18,55.459999,55.310001
13700,IPE,55.276984,55.330002,54.66,2015-09-17,55.290001,54.77
22100,IPE,54.817093,54.970001,54.790001,2015-09-16,54.830002,54.849998
65500,IPE,54.86708,55.200001,54.830002,2015-09-15,54.880001,55.200001
8300,IPE,55.326971,55.43,55.209999,2015-09-14,55.34,55.400002
14800,IPE,55.286979,55.400002,55.290001,2015-09-11,55.299999,55.32
120600,IPE,55.197001,55.259998,55.099998,2015-09-10,55.209999,55.119999
164000,IPE,55.157009,55.240002,54.860001,2015-09-09,55.169998,55.00
14200,IPE,55.097026,55.130001,55.029999,2015-09-08,55.110001,55.099998
18100,IPE,55.336967,55.380001,55.18,2015-09-04,55.349998,55.189999
23100,IPE,55.226996,55.349998,55.200001,2015-09-03,55.240002,55.25
36500,IPE,55.187005,55.41,55.200001,2015-09-02,55.200001,55.349998
45000,IPE,55.456941,55.52,55.299999,2015-09-01,55.470001,55.439999
93400,IPE,55.526925,55.669998,55.369999,2015-08-31,55.540001,55.619999
42900,IPE,55.556916,55.709999,55.470001,2015-08-28,55.57,55.52
7600,IPE,55.346967,55.57,55.23,2015-08-27,55.360001,55.23
10000,IPE,55.07703,55.52,55.040001,2015-08-26,55.09,55.41
34500,IPE,55.466937,55.57,55.349998,2015-08-25,55.48,55.540001
31500,IPE,55.596908,56.240002,55.57,2015-08-24,55.610001,56.119999
21300,IPE,55.856845,55.880001,55.709999,2015-08-21,55.869999,55.77
20300,IPE,55.766866,55.84,55.57,2015-08-20,55.779999,55.720001
6200,IPE,55.74687,55.759998,55.32,2015-08-19,55.759998,55.360001
17300,IPE,55.456941,55.599998,55.450001,2015-08-18,55.470001,55.490002
3800,IPE,55.666891,55.790001,55.68,2015-08-17,55.68,55.75
6600,IPE,55.646895,55.720001,55.549999,2015-08-14,55.66,55.560001
12500,IPE,55.656891,55.709999,55.549999,2015-08-13,55.669998,55.630001
6100,IPE,55.806858,56.16,55.82,2015-08-12,55.82,56.009998
511700,IPE,55.96682,56.07,55.84,2015-08-11,55.98,55.84
66600,IPE,55.706883,55.790001,55.669998,2015-08-10,55.720001,55.77
18100,IPE,55.816857,55.84,55.630001,2015-08-07,55.830002,55.630001
3800,IPE,55.616904,55.630001,55.50,2015-08-06,55.630001,55.580002
20200,IPE,55.566916,55.700001,55.50,2015-08-05,55.580002,55.650002
10200,IPE,55.776866,56.049999,55.75,2015-08-04,55.790001,56.049999
6600,IPE,56.076794,56.09,55.939999,2015-08-03,56.09,55.970001
21300,IPE,56.026807,56.139999,56.00,2015-07-31,56.040001,56.02
13200,IPE,55.886841,55.939999,55.779999,2015-07-30,55.900002,55.799999
9600,IPE,55.736874,55.869999,55.709999,2015-07-29,55.75,55.73
8800,IPE,55.816857,55.84,55.75,2015-07-28,55.830002,55.75
30400,IPE,55.876841,56.00,55.82,2015-07-27,55.889999,55.919998
48700,IPE,55.796862,55.990002,55.709999,2015-07-24,55.810001,55.990002
7700,IPE,55.826853,55.91,55.669998,2015-07-23,55.84,55.669998
54600,IPE,55.75687,55.880001,55.720001,2015-07-22,55.77,55.810001
11500,IPE,55.666891,55.75,55.50,2015-07-21,55.68,55.50
16100,IPE,55.54692,55.68,55.529999,2015-07-20,55.560001,55.630001
8400,IPE,55.686887,55.77,55.650002,2015-07-17,55.700001,55.669998
7400,IPE,55.726878,55.779999,55.540001,2015-07-16,55.740002,55.540001
10200,IPE,55.636899,55.720001,55.419998,2015-07-15,55.650002,55.43
23000,IPE,55.526925,55.540001,55.369999,2015-07-14,55.540001,55.509998
31400,IPE,55.426946,56.189999,55.389999,2015-07-13,55.439999,55.470001
79300,IPE,55.54692,55.669998,55.50,2015-07-10,55.560001,55.639999
9000,IPE,55.886841,56.119999,55.439999,2015-07-09,55.900002,56.040001
89200,IPE,56.226761,56.349998,56.150002,2015-07-08,56.240002,56.330002
19000,IPE,56.216761,56.389999,56.209999,2015-07-07,56.23,56.279999
14600,IPE,55.996811,56.09,55.869999,2015-07-06,56.009998,56.080002
8900,IPE,55.716879,55.830002,55.610001,2015-07-02,55.73,55.639999
27100,IPE,55.516925,55.610001,55.50,2015-07-01,55.529999,55.549999
33400,IPE,55.716879,56.060001,55.709999,2015-06-30,55.73,55.720001
21800,IPE,55.836849,55.91,55.639999,2015-06-29,55.849998,55.639999
8700,IPE,55.41695,55.52,55.349998,2015-06-26,55.43,55.419998
126900,IPE,55.666891,55.779999,55.59,2015-06-25,55.68,55.639999
12500,IPE,55.766866,55.810001,55.639999,2015-06-24,55.779999,55.68
8800,IPE,55.596908,55.82,55.560001,2015-06-23,55.610001,55.610001
27300,IPE,55.676887,55.93,55.689999,2015-06-22,55.689999,55.849998
5900,IPE,56.056799,56.07,55.880001,2015-06-19,56.07,55.880001
14400,IPE,55.846849,55.860001,55.689999,2015-06-18,55.860001,55.82
13000,IPE,55.946824,56.02,55.57,2015-06-17,55.959999,55.849998
16300,IPE,55.926828,55.990002,55.700001,2015-06-16,55.939999,55.799999
19100,IPE,55.596908,55.669998,55.470001,2015-06-15,55.610001,55.639999
32200,IPE,55.446942,55.560001,55.279999,2015-06-12,55.459999,55.360001
12400,IPE,55.376958,55.439999,55.169998,2015-06-11,55.389999,55.32
17300,IPE,55.087026,55.330002,55.099998,2015-06-10,55.099998,55.290001
15400,IPE,55.276984,55.439999,55.27,2015-06-09,55.290001,55.330002
13500,IPE,55.426946,55.540001,55.43,2015-06-08,55.439999,55.470001
142100,IPE,55.436946,55.52,55.290001,2015-06-05,55.450001,55.360001
10500,IPE,55.556916,55.709999,55.490002,2015-06-04,55.57,55.619999
26800,IPE,55.386958,55.580002,55.259998,2015-06-03,55.400002,55.580002
13400,IPE,55.776866,55.939999,55.709999,2015-06-02,55.790001,55.939999
20400,IPE,56.056799,56.360001,55.990002,2015-06-01,56.07,56.279999
19400,IPE,56.336732,56.50,56.189999,2015-05-29,56.349998,56.189999
9500,IPE,56.146778,56.200001,56.049999,2015-05-28,56.16,56.099998
19900,IPE,56.156774,56.240002,56.099998,2015-05-27,56.169998,56.240002
8500,IPE,56.246753,56.400002,56.119999,2015-05-26,56.259998,56.209999
37300,IPE,56.176769,56.34,55.68,2015-05-22,56.189999,56.220001
25600,IPE,56.116786,56.16,55.950001,2015-05-21,56.130001,55.950001
10600,IPE,55.876841,56.009998,55.779999,2015-05-20,55.889999,55.799999
19400,IPE,55.736874,55.950001,55.68,2015-05-19,55.75,55.689999
32200,IPE,55.976819,56.130001,55.939999,2015-05-18,55.990002,56.07
29400,IPE,56.296744,56.34,55.990002,2015-05-15,56.310001,55.990002
19500,IPE,55.916832,56.02,55.799999,2015-05-14,55.93,55.889999
14600,IPE,55.776866,56.18,55.759998,2015-05-13,55.790001,56.18
89800,IPE,55.936828,56.049999,55.75,2015-05-12,55.950001,55.759998
18400,IPE,55.856845,56.139999,55.779999,2015-05-11,55.869999,56.130001
63200,IPE,56.386723,56.599998,56.310001,2015-05-08,56.400002,56.540001
79600,IPE,56.266748,56.279999,56.029999,2015-05-07,56.279999,56.16
22200,IPE,55.986815,56.369999,55.900002,2015-05-06,56.00,56.369999
13100,IPE,56.446706,56.509998,56.299999,2015-05-05,56.459999,56.509998
69000,IPE,56.42671,56.830002,56.389999,2015-05-04,56.439999,56.720001
53500,IPE,56.676652,56.860001,56.650002,2015-05-01,56.689999,56.799999
29800,IPE,57.016572,57.040001,56.700001,2015-04-30,57.029999,56.82
20700,IPE,56.816622,56.959999,56.689999,2015-04-29,56.830002,56.82
15400,IPE,57.006576,57.330002,56.98,2015-04-28,57.02,57.330002
29800,IPE,57.356492,57.470001,57.310001,2015-04-27,57.369999,57.310001
12700,IPE,57.366492,57.389999,57.25,2015-04-24,57.380001,57.25
17800,IPE,57.096555,57.220001,56.990002,2015-04-23,57.110001,57.02
9900,IPE,56.916597,57.189999,56.919998,2015-04-22,56.93,57.18
26200,IPE,57.266513,57.439999,57.220001,2015-04-21,57.279999,57.380001
18500,IPE,57.426475,57.580002,57.400002,2015-04-20,57.439999,57.540001
26500,IPE,57.586437,57.709999,57.290001,2015-04-17,57.599998,57.290001
51500,IPE,57.216525,57.279999,56.98,2015-04-16,57.23,57.130001
21300,IPE,57.156538,57.200001,57.099998,2015-04-15,57.169998,57.200001
21500,IPE,56.98658,57.189999,56.990002,2015-04-14,57.00,57.150002
15100,IPE,56.886605,56.900002,56.740002,2015-04-13,56.900002,56.740002
142900,IPE,56.796626,56.98,56.779999,2015-04-10,56.810001,56.950001
29900,IPE,56.886605,57.130001,56.830002,2015-04-09,56.900002,57.099998
16800,IPE,57.086555,57.16,56.91,2015-04-08,57.099998,57.119999
14700,IPE,57.266513,57.279999,57.009998,2015-04-07,57.279999,57.040001
13300,IPE,57.106551,57.360001,57.080002,2015-04-06,57.119999,57.310001
10900,IPE,56.886605,57.110001,56.900002,2015-04-02,56.900002,57.049999
83900,IPE,57.186534,57.220001,56.959999,2015-04-01,57.200001,56.959999
21500,IPE,56.686651,56.75,56.459999,2015-03-31,56.700001,56.509998
11400,IPE,56.556681,56.75,56.529999,2015-03-30,56.57,56.75
5500,IPE,56.706647,56.82,56.709999,2015-03-27,56.720001,56.810001
15100,IPE,56.696647,57.060001,56.66,2015-03-26,56.709999,57.060001
16000,IPE,56.996576,57.220001,57.009998,2015-03-25,57.009998,57.209999
39600,IPE,57.11655,57.130001,56.849998,2015-03-24,57.130001,56.869999
20800,IPE,56.77663,56.84,56.709999,2015-03-23,56.790001,56.799999
11300,IPE,56.826618,56.84,56.720001,2015-03-20,56.84,56.810001
8100,IPE,56.656656,56.77,56.279999,2015-03-19,56.669998,56.639999
22000,IPE,56.626664,56.700001,55.82,2015-03-18,56.639999,55.860001
34000,IPE,55.726878,55.790001,55.59,2015-03-17,55.740002,55.669998
21500,IPE,55.636899,55.84,55.59,2015-03-16,55.650002,55.84
17900,IPE,55.586908,55.779999,55.599998,2015-03-13,55.599998,55.740002
15100,IPE,55.836849,56.099998,55.810001,2015-03-12,55.849998,56.049999
13600,IPE,55.926828,55.98,55.84,2015-03-11,55.939999,55.860001
65000,IPE,55.856845,55.939999,55.790001,2015-03-10,55.869999,55.830002
15900,IPE,55.75687,56.029999,55.75,2015-03-09,55.77,56.00
35800,IPE,55.886841,56.150002,55.82,2015-03-06,55.900002,56.09
17600,IPE,56.516689,56.669998,56.369999,2015-03-05,56.529999,56.630001
13400,IPE,56.616668,56.720001,56.549999,2015-03-04,56.630001,56.709999
12400,IPE,56.506693,56.599998,56.50,2015-03-03,56.52,56.549999
121600,IPE,56.42671,56.950001,56.43,2015-03-02,56.439999,56.939999
104700,IPE,56.996576,57.02,56.720001,2015-02-27,57.009998,56.860001
95700,IPE,56.64666,56.900002,56.630001,2015-02-26,56.66,56.810001
32900,IPE,56.686651,56.720001,56.470001,2015-02-25,56.700001,56.560001
24700,IPE,56.546685,56.610001,56.139999,2015-02-24,56.560001,56.220001
21000,IPE,56.196765,56.259998,56.139999,2015-02-23,56.209999,56.209999
33000,IPE,56.046803,56.389999,56.040001,2015-02-20,56.060001,56.310001
18900,IPE,56.046803,56.450001,55.93,2015-02-19,56.060001,56.00
24300,IPE,56.136782,56.259998,55.869999,2015-02-18,56.150002,55.98
106500,IPE,55.886841,56.330002,55.779999,2015-02-17,55.900002,56.330002
12400,IPE,56.216761,56.310001,56.16,2015-02-13,56.23,56.310001
22600,IPE,56.326736,56.580002,56.34,2015-02-12,56.34,56.450001
49700,IPE,56.406715,56.57,56.299999,2015-02-11,56.419998,56.57
38400,IPE,56.566681,56.740002,56.509998,2015-02-10,56.580002,56.709999
14400,IPE,56.786626,56.93,56.799999,2015-02-09,56.799999,56.919998
12300,IPE,56.846614,57.00,56.799999,2015-02-06,56.860001,57.00
26900,IPE,57.256517,57.490002,57.27,2015-02-05,57.27,57.490002
51100,IPE,57.516454,57.619999,57.169998,2015-02-04,57.529999,57.32
24200,IPE,57.426475,57.52,57.32,2015-02-03,57.439999,57.509998
291200,IPE,57.776395,57.889999,57.650002,2015-02-02,57.790001,57.650002
49100,IPE,57.796391,58.529999,56.799999,2015-01-30,57.810001,56.799999
9100,IPE,57.296508,57.389999,57.25,2015-01-29,57.310001,57.330002
15500,IPE,57.496458,57.540001,57.18,2015-01-28,57.509998,57.189999
17200,IPE,57.166538,57.240002,57.119999,2015-01-27,57.18,57.240002
39500,IPE,57.016572,57.119999,56.98,2015-01-26,57.029999,57.07
15000,IPE,57.136546,57.150002,56.98,2015-01-23,57.150002,56.990002
20200,IPE,56.676652,56.950001,56.540001,2015-01-22,56.689999,56.950001
18400,IPE,56.676652,57.110001,56.68,2015-01-21,56.689999,57.080002
26800,IPE,56.966584,57.110001,56.880001,2015-01-20,56.98,56.950001
25100,IPE,56.826618,57.189999,56.810001,2015-01-16,56.84,57.099998
98200,IPE,57.166538,57.23,56.790001,2015-01-15,57.18,56.82
23500,IPE,56.656656,56.91,56.599998,2015-01-14,56.669998,56.639999
27500,IPE,56.346731,56.439999,56.16,2015-01-13,56.360001,56.240002
53800,IPE,56.476702,56.529999,56.349998,2015-01-12,56.490002,56.439999
31500,IPE,56.43671,56.540001,56.259998,2015-01-09,56.450001,56.259998
16500,IPE,56.30674,56.369999,56.259998,2015-01-08,56.32,56.34
16400,IPE,56.456706,56.490002,56.200001,2015-01-07,56.470001,56.279999
11100,IPE,56.396719,56.75,56.389999,2015-01-06,56.41,56.540001
22000,IPE,56.356727,56.48,56.299999,2015-01-05,56.369999,56.32
15900,IPE,56.486698,56.509998,56.200001,2015-01-02,56.50,56.200001
48900,IPE,55.96682,56.099998,55.75,2014-12-31,55.98,55.82
49300,IPE,55.706883,55.93,55.709999,2014-12-30,55.720001,55.880001
13400,IPE,55.806858,55.91,55.700001,2014-12-29,55.82,55.77
7000,IPE,55.636899,55.709999,55.619999,2014-12-26,55.650002,55.66
12100,IPE,55.646895,55.66,55.41,2014-12-24,55.66,55.52
28900,IPE,55.676887,56.060001,55.689999,2014-12-23,55.689999,55.98
151800,IPE,56.106786,56.18,55.990002,2014-12-22,56.119999,56.049999
168800,IPE,56.056799,56.07,55.75,2014-12-19,56.07,55.75
21300,IPE,55.74687,55.970001,55.73,2014-12-18,55.759998,55.959999
62400,IPE,56.116786,57.00,56.130001,2014-12-17,56.130001,56.34
19600,IPE,56.476702,56.50,56.189999,2014-12-16,56.490002,56.279999
18700,IPE,56.08679,56.16,56.00,2014-12-15,56.099998,56.099998
9500,IPE,56.296744,56.310001,56.02,2014-12-12,56.310001,56.16
20400,IPE,56.156774,56.189999,56.009998,2014-12-11,56.169998,56.169998
13300,IPE,56.246753,56.290001,55.959999,2014-12-10,56.259998,55.959999
33900,IPE,56.136782,56.150002,56.009998,2014-12-09,56.150002,56.040001
60900,IPE,55.856845,55.959999,55.73,2014-12-08,55.869999,55.790001
9200,IPE,55.786862,56.00,55.709999,2014-12-05,55.799999,56.00
10900,IPE,56.146778,56.16,55.959999,2014-12-04,56.16,55.959999
24400,IPE,56.006811,56.02,55.880001,2014-12-03,56.02,55.889999
14400,IPE,55.946824,56.169998,55.950001,2014-12-02,55.959999,56.130001
18100,IPE,56.266748,56.52,56.25,2014-12-01,56.279999,56.52
9900,IPE,56.43671,56.459999,56.330002,2014-11-28,56.450001,56.330002
85600,IPE,56.336732,56.50,56.34,2014-11-26,56.349998,56.439999
12400,IPE,56.31674,56.349998,56.200001,2014-11-25,56.330002,56.27
16900,IPE,56.266748,56.32,56.130001,2014-11-24,56.279999,56.130001
10700,IPE,56.256752,56.27,56.169998,2014-11-21,56.27,56.189999
36000,IPE,56.046803,56.110001,55.959999,2014-11-20,56.060001,56.110001
16300,IPE,55.916832,56.119999,55.860001,2014-11-19,55.93,55.939999
19800,IPE,56.146778,56.18,56.07,2014-11-18,56.16,56.09
27600,IPE,56.08679,56.32,56.09,2014-11-17,56.099998,56.32
15700,IPE,56.256752,56.32,56.040001,2014-11-14,56.27,56.060001
47700,IPE,56.106786,56.23,56.110001,2014-11-13,56.119999,56.23
66100,IPE,56.176769,56.380001,56.18,2014-11-12,56.189999,56.310001
60700,IPE,56.226761,56.369999,56.18,2014-11-11,56.240002,56.279999
25200,IPE,56.286744,56.490002,56.259998,2014-11-10,56.299999,56.439999
19200,IPE,56.516689,56.540001,56.240002,2014-11-07,56.529999,56.25
29400,IPE,56.186769,56.27,56.169998,2014-11-06,56.200001,56.189999
7700,IPE,56.256752,56.279999,56.07,2014-11-05,56.27,56.130001
47700,IPE,56.206765,56.310001,56.16,2014-11-04,56.220001,56.200001
64100,IPE,56.166773,56.220001,56.049999,2014-11-03,56.18,56.220001
57300,IPE,56.176769,56.369999,56.189999,2014-10-31,56.189999,56.369999
5600,IPE,56.246753,56.360001,56.259998,2014-10-30,56.259998,56.290001
57200,IPE,56.226761,56.450001,56.009998,2014-10-29,56.240002,56.290001
86900,IPE,56.326736,56.419998,56.25,2014-10-28,56.34,56.330002
12600,IPE,56.356727,56.41,56.330002,2014-10-27,56.369999,56.330002
12500,IPE,56.366727,56.419998,56.310001,2014-10-24,56.380001,56.400002
