Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
7767200,VGK,49.310001,49.50,48.77,2015-12-14,49.310001,49.400002
7079000,VGK,49.279999,49.720001,49.259998,2015-12-11,49.279999,49.669998
5263600,VGK,50.18,50.52,50.16,2015-12-10,50.18,50.450001
4875200,VGK,50.360001,50.939999,50.02,2015-12-09,50.360001,50.470001
3970900,VGK,50.41,50.59,50.23,2015-12-08,50.41,50.419998
2604000,VGK,51.240002,51.369999,51.040001,2015-12-07,51.240002,51.349998
4474300,VGK,51.619999,51.650002,50.950001,2015-12-04,51.619999,50.990002
5874100,VGK,51.060001,51.700001,50.860001,2015-12-03,51.060001,51.669998
3975800,VGK,51.209999,51.68,51.150002,2015-12-02,51.209999,51.57
3528400,VGK,51.84,51.84,51.540001,2015-12-01,51.84,51.73
5233200,VGK,51.43,51.619999,51.419998,2015-11-30,51.43,51.540001
1186400,VGK,51.380001,51.439999,51.32,2015-11-27,51.380001,51.380001
2388600,VGK,51.099998,51.23,50.919998,2015-11-25,51.099998,51.02
3848400,VGK,50.77,50.860001,50.389999,2015-11-24,50.77,50.41
3218000,VGK,50.93,51.279999,50.82,2015-11-23,50.93,51.130001
2809500,VGK,51.310001,51.790001,51.27,2015-11-20,51.310001,51.75
3472200,VGK,51.68,51.889999,51.619999,2015-11-19,51.68,51.73
6489400,VGK,51.41,51.470001,50.990002,2015-11-18,51.41,51.099998
6750100,VGK,50.84,51.18,50.700001,2015-11-17,50.84,51.009998
3146300,VGK,50.759998,50.77,50.060001,2015-11-16,50.759998,50.060001
3875100,VGK,50.080002,50.310001,49.93,2015-11-13,50.080002,50.18
4128200,VGK,50.50,50.950001,50.50,2015-11-12,50.50,50.77
2649500,VGK,51.290001,51.509998,51.16,2015-11-11,51.290001,51.48
4413200,VGK,51.040001,51.060001,50.68,2015-11-10,51.040001,50.810001
2358200,VGK,51.220001,51.48,51.00,2015-11-09,51.220001,51.459999
3039000,VGK,51.720001,51.799999,51.380001,2015-11-06,51.720001,51.650002
2393500,VGK,52.009998,52.27,51.880001,2015-11-05,52.009998,52.23
6140000,VGK,52.16,52.619999,52.02,2015-11-04,52.16,52.599998
4395700,VGK,52.52,52.650002,52.110001,2015-11-03,52.52,52.189999
2949700,VGK,52.689999,52.700001,52.470001,2015-11-02,52.689999,52.52
2931300,VGK,52.080002,52.48,52.080002,2015-10-30,52.080002,52.150002
3225000,VGK,52.09,52.150002,51.779999,2015-10-29,52.09,51.810001
3610800,VGK,52.32,52.68,51.799999,2015-10-28,52.32,52.25
2729400,VGK,51.939999,52.130001,51.849998,2015-10-27,51.939999,52.110001
1944300,VGK,52.450001,52.599998,52.400002,2015-10-26,52.450001,52.560001
3266500,VGK,52.68,52.77,52.450001,2015-10-23,52.68,52.650002
3510000,VGK,52.23,52.43,51.900002,2015-10-22,52.23,51.919998
2370600,VGK,51.73,52.189999,51.73,2015-10-21,51.73,52.150002
2528800,VGK,52.00,52.099998,51.91,2015-10-20,52.00,51.98
1918100,VGK,52.080002,52.130001,51.900002,2015-10-19,52.080002,52.080002
2175500,VGK,52.200001,52.259998,51.98,2015-10-16,52.200001,52.130001
3321500,VGK,52.349998,52.369999,51.75,2015-10-15,52.349998,51.849998
3718000,VGK,51.650002,51.779999,51.43,2015-10-14,51.650002,51.580002
2191300,VGK,51.34,51.689999,51.240002,2015-10-13,51.34,51.290001
2302800,VGK,51.93,52.049999,51.860001,2015-10-12,51.93,51.959999
2084900,VGK,52.130001,52.259998,51.950001,2015-10-09,52.130001,52.200001
2662300,VGK,52.119999,52.119999,51.290001,2015-10-08,52.119999,51.349998
4829700,VGK,51.639999,51.790001,51.200001,2015-10-07,51.639999,51.619999
3373900,VGK,51.200001,51.400002,51.02,2015-10-06,51.200001,51.02
4337100,VGK,50.98,51.00,50.59,2015-10-05,50.98,50.619999
5802900,VGK,50.099998,50.110001,48.959999,2015-10-02,50.099998,49.099998
3112000,VGK,49.169998,49.459999,48.709999,2015-10-01,49.169998,49.380001
4347600,VGK,49.18,49.189999,48.709999,2015-09-30,49.18,49.110001
4444700,VGK,48.259998,48.360001,47.950001,2015-09-29,48.259998,48.18
3883000,VGK,48.110001,48.73,48.049999,2015-09-28,48.110001,48.669998
