Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
672200,VPL,56.119999,56.169998,55.509998,2015-12-14,56.119999,56.049999
403400,VPL,55.709999,56.00,55.59,2015-12-11,55.709999,55.93
464600,VPL,56.700001,57.02,56.669998,2015-12-10,56.700001,56.830002
357100,VPL,56.48,57.060001,56.279999,2015-12-09,56.48,56.810001
375300,VPL,56.84,56.900002,56.52,2015-12-08,56.84,56.669998
480400,VPL,57.57,57.799999,57.419998,2015-12-07,57.57,57.709999
706800,VPL,58.040001,58.130001,57.419998,2015-12-04,58.040001,57.419998
704600,VPL,57.669998,58.189999,57.470001,2015-12-03,57.669998,58.189999
262500,VPL,58.209999,58.599998,58.09,2015-12-02,58.209999,58.52
521300,VPL,58.73,58.77,58.41,2015-12-01,58.73,58.41
1784900,VPL,57.77,57.880001,57.650002,2015-11-30,57.77,57.830002
113900,VPL,58.049999,58.150002,57.970001,2015-11-27,58.049999,58.150002
229100,VPL,58.50,58.560001,58.360001,2015-11-25,58.50,58.529999
259300,VPL,58.77,58.860001,58.32,2015-11-24,58.77,58.380001
466000,VPL,58.450001,58.669998,58.389999,2015-11-23,58.450001,58.549999
175300,VPL,58.66,58.810001,58.639999,2015-11-20,58.66,58.700001
263400,VPL,58.330002,58.459999,58.310001,2015-11-19,58.330002,58.310001
213300,VPL,58.009998,58.02,57.52,2015-11-18,58.009998,57.57
293900,VPL,57.580002,57.810001,57.50,2015-11-17,57.580002,57.619999
198900,VPL,57.52,57.52,56.98,2015-11-16,57.52,56.98
173300,VPL,56.91,57.220001,56.869999,2015-11-13,56.91,57.200001
147000,VPL,57.349998,57.689999,57.32,2015-11-12,57.349998,57.52
141300,VPL,57.799999,58.049999,57.790001,2015-11-11,57.799999,57.959999
301300,VPL,57.450001,57.529999,57.23,2015-11-10,57.450001,57.290001
226700,VPL,57.290001,57.66,57.07,2015-11-09,57.290001,57.66
146400,VPL,57.830002,57.93,57.57,2015-11-06,57.830002,57.830002
1039400,VPL,58.139999,58.32,57.959999,2015-11-05,58.139999,58.259998
729500,VPL,58.02,58.25,57.900002,2015-11-04,58.02,58.23
238500,VPL,58.290001,58.50,58.009998,2015-11-03,58.290001,58.009998
411500,VPL,58.110001,58.110001,57.560001,2015-11-02,58.110001,57.639999
239700,VPL,57.75,58.00,57.75,2015-10-30,57.75,57.950001
414700,VPL,57.82,57.900002,57.650002,2015-10-29,57.82,57.790001
295200,VPL,58.560001,58.73,58.07,2015-10-28,58.560001,58.450001
324200,VPL,58.32,58.400002,58.220001,2015-10-27,58.32,58.369999
446300,VPL,58.75,58.889999,58.650002,2015-10-26,58.75,58.790001
1075100,VPL,58.970001,59.07,58.689999,2015-10-23,58.970001,58.900002
271500,VPL,58.41,58.599998,57.919998,2015-10-22,58.41,57.919998
263300,VPL,57.529999,57.950001,57.52,2015-10-21,57.529999,57.880001
401100,VPL,57.299999,57.450001,57.23,2015-10-20,57.299999,57.349998
312200,VPL,57.560001,57.560001,57.290001,2015-10-19,57.560001,57.400002
431000,VPL,57.880001,57.91,57.619999,2015-10-16,57.880001,57.77
299000,VPL,57.880001,57.889999,57.34,2015-10-15,57.880001,57.380001
895600,VPL,56.360001,56.68,56.290001,2015-10-14,56.360001,56.470001
267900,VPL,56.59,57.009998,56.459999,2015-10-13,56.59,56.599998
180800,VPL,57.209999,57.310001,57.119999,2015-10-12,57.209999,57.23
290000,VPL,57.189999,57.439999,57.080002,2015-10-09,57.189999,57.279999
235200,VPL,57.060001,57.119999,56.400002,2015-10-08,57.060001,56.459999
612200,VPL,56.700001,56.950001,56.380001,2015-10-07,56.700001,56.740002
309700,VPL,55.759998,55.889999,55.549999,2015-10-06,55.759998,55.709999
571100,VPL,56.02,56.189999,55.560001,2015-10-05,56.02,55.560001
446500,VPL,54.720001,54.73,53.369999,2015-10-02,54.720001,53.57
341400,VPL,54.07,54.139999,53.619999,2015-10-01,54.07,54.130001
396400,VPL,53.689999,53.709999,53.09,2015-09-30,53.689999,53.32
449800,VPL,52.50,52.689999,52.209999,2015-09-29,52.50,52.52
352200,VPL,52.98,54.389999,52.900002,2015-09-28,52.98,54.389999
573000,VPL,54.07,54.59,53.84,2015-09-25,54.07,54.43
1132000,VPL,53.387002,53.650002,52.919998,2015-09-24,53.580002,53.360001
418400,VPL,53.56635,54.110001,53.580002,2015-09-23,53.759998,54.00
544200,VPL,53.865273,54.16,53.73,2015-09-22,54.060001,54.07
251700,VPL,54.682319,55.07,54.610001,2015-09-21,54.880001,54.919998
615300,VPL,54.582676,55.25,54.700001,2015-09-18,54.779999,55.16
653100,VPL,55.758426,56.759998,55.689999,2015-09-17,55.959999,55.869999
473200,VPL,56.027454,56.310001,55.82,2015-09-16,56.23,55.82
733200,VPL,55.170551,55.41,54.700001,2015-09-15,55.369999,54.849998
364400,VPL,54.712209,54.98,54.740002,2015-09-14,54.91,54.91
180000,VPL,54.891561,55.110001,54.59,2015-09-11,55.09,54.759998
1763400,VPL,54.841742,55.240002,54.700001,2015-09-10,55.040001,54.880001
3651300,VPL,54.781957,55.84,54.939999,2015-09-09,54.98,55.740002
458600,VPL,54.622533,54.860001,54.389999,2015-09-08,54.82,54.490002
598700,VPL,53.08808,53.689999,53.09,2015-09-04,53.279999,53.540001
1029200,VPL,54.602605,55.220001,54.73,2015-09-03,54.799999,54.779999
1149300,VPL,54.532857,54.759998,54.16,2015-09-02,54.73,54.759998
797600,VPL,53.616173,54.419998,53.66,2015-09-01,53.810001,54.150002
335000,VPL,55.83814,56.459999,55.98,2015-08-31,56.040001,56.459999
344900,VPL,56.824572,57.080002,56.630001,2015-08-28,57.029999,56.740002
1251600,VPL,56.744862,57.080002,56.130001,2015-08-27,56.950001,56.200001
1090500,VPL,55.678716,55.900002,54.419998,2015-08-26,55.880001,54.419998
3238300,VPL,53.695883,57.169998,53.450001,2015-08-25,53.889999,53.450001
1565000,VPL,52.739342,53.970001,51.200001,2015-08-24,52.93,52.259998
968100,VPL,55.210408,56.900002,55.369999,2015-08-21,55.41,56.849998
478000,VPL,56.874395,57.790001,57.080002,2015-08-20,57.080002,57.759998
616300,VPL,58.538377,59.080002,58.529999,2015-08-19,58.75,58.950001
327700,VPL,58.907044,59.290001,59.080002,2015-08-18,59.119999,59.23
364100,VPL,59.445099,59.68,59.349998,2015-08-17,59.66,59.349998
284800,VPL,59.514847,59.82,59.41,2015-08-14,59.73,59.41
363500,VPL,59.445099,59.799999,59.32,2015-08-13,59.66,59.439999
814200,VPL,59.215928,59.439999,58.720001,2015-08-12,59.43,59.240002
450600,VPL,59.614489,60.00,59.650002,2015-08-11,59.830002,59.880001
190500,VPL,60.919768,61.139999,60.630001,2015-08-10,61.139999,60.639999
332800,VPL,60.142579,60.360001,60.080002,2015-08-07,60.360001,60.16
340500,VPL,59.993117,60.48,60.049999,2015-08-06,60.209999,60.419998
440800,VPL,60.491316,60.939999,60.68,2015-08-05,60.709999,60.799999
324100,VPL,60.242217,60.610001,60.360001,2015-08-04,60.459999,60.490002
450800,VPL,60.013046,60.360001,60.040001,2015-08-03,60.23,60.360001
174500,VPL,60.481354,60.93,60.580002,2015-07-31,60.700001,60.849998
198300,VPL,60.142579,60.400002,60.040001,2015-07-30,60.360001,60.189999
233100,VPL,60.302002,60.619999,60.16,2015-07-29,60.52,60.16
352400,VPL,59.993117,60.240002,59.700001,2015-07-28,60.209999,59.950001
271500,VPL,59.415209,59.779999,59.490002,2015-07-27,59.630001,59.630001
280800,VPL,59.773912,60.400002,59.91,2015-07-24,59.990002,60.369999
278800,VPL,60.421569,60.98,60.549999,2015-07-23,60.639999,60.849998
178200,VPL,60.561064,60.880001,60.650002,2015-07-22,60.779999,60.709999
134400,VPL,61.01941,61.34,61.130001,2015-07-21,61.240002,61.23
236300,VPL,61.12901,61.50,61.23,2015-07-20,61.349998,61.349998
158700,VPL,61.09912,61.490002,61.290001,2015-07-17,61.32,61.470001
250200,VPL,61.029372,61.450001,61.220001,2015-07-16,61.25,61.41
320900,VPL,60.610887,61.049999,60.73,2015-07-15,60.830002,60.970001
183900,VPL,60.810163,61.080002,60.790001,2015-07-14,61.029999,60.790001
2454700,VPL,60.481354,60.810001,60.549999,2015-07-13,60.700001,60.68
440200,VPL,59.913408,60.25,59.790001,2015-07-10,60.130001,59.790001
757100,VPL,58.986757,59.68,59.110001,2015-07-09,59.200001,59.119999
519600,VPL,58.329135,59.290001,58.43,2015-07-08,58.540001,59.259998
566000,VPL,60.541135,60.869999,60.049999,2015-07-07,60.759998,60.68
358700,VPL,60.561064,61.02,60.509998,2015-07-06,60.779999,60.549999
406000,VPL,61.437895,61.779999,61.549999,2015-07-02,61.66,61.73
476100,VPL,61.2984,61.77,61.360001,2015-07-01,61.52,61.639999
749800,VPL,60.810163,61.529999,61.00,2015-06-30,61.029999,61.27
